comment_id,text,session_id,source_file,timestamp,intent,sentiment,confidence,needs_review,reason
comment_000001,Spil ukuran s dong kak yg spider,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180643361,ask_detail,neutral,0.75,False,minta spill/lihat detail ukuran S
comment_000002,oke kak makasih,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180653836,other,positive,0.8,False,ucapan terima kasih
comment_000003,kak kalo buat BB 100+ bisa ga kak?,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180663619,ask_size_fit,neutral,0.6,False,tanya fit untuk BB 100+
comment_000004,bahan buat T shirt,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180664729,ask_detail,neutral,0.85,False,tanya bahan T-shirt
comment_000005,kalo TB 140 BB 41 ukuran apa kak,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180675781,ask_measurement,neutral,0.9,False,BB/TB + tanya ukuran
comment_000006,bahan kaos apa kak?,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180680585,ask_detail,neutral,0.9,False,tanya bahan kaos
comment_000013,kaos untuk bb 77 tb 172 kak uk apa ya?,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180702315,ask_measurement,neutral,0.9,False,BB/TB + tanya ukuran
comment_000014,spil yg ukuran m kak,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180709165,ask_detail,neutral,0.75,False,minta spill ukuran M
comment_000015,Oky kak yg spider ukuran s pas kan TB 140 TB 41,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180757478,ask_measurement,neutral,0.7,False,konfirmasi ukuran dgn BB/TB
comment_000016,ka bener ga si harganya segitu,2dfdad83-e04f-4b8e-a1c7-bc8ed2a6fa58,4endshop_7671505719457581844_20260808-161802.jsonl,1786180789568,ask_price,neutral,0.8,False,verifikasi harga
